outbreak_type,causative_agent,start,end,institution,duration
Respiratory,Coronavirus,2023-12-12,2023-12-20,Acute Care,8
Respiratory,Coronavirus,2023-12-12,2023-12-20,LTCH,8
Enteric,Unknown,2023-12-12,2023-12-23,Acute Care,11
Respiratory,Influenza,2023-12-12,2023-12-21,LTCH,9
Respiratory,Coronavirus,2023-12-12,2023-12-22,Chronic Care,10
Respiratory,Coronavirus,2023-12-12,2023-12-20,LTCH,8
Respiratory,Coronavirus,2023-12-11,2023-12-27,Chronic Care,16
Respiratory,Coronavirus,2023-12-11,2023-12-25,Chronic Care,14
Respiratory,RSV,2023-12-11,2023-12-25,LTCH,14
Respiratory,Coronavirus,2023-12-11,2024-01-14,LTCH,34
Respiratory,Coronavirus,2023-12-11,2023-12-27,Acute Care,16
Respiratory,Influenza,2023-12-11,2023-12-19,Retirement Home,8
Respiratory,Coronavirus,2023-12-11,2024-01-02,LTCH,22
Respiratory,Coronavirus,2023-12-10,2023-12-16,LTCH,6
Respiratory,Coronavirus,2023-12-10,2023-12-21,LTCH,11
Respiratory,Coronavirus,2023-12-09,2023-12-18,LTCH,9
Respiratory,Coronavirus,2023-12-09,2023-12-22,LTCH,13
Respiratory,Coronavirus,2023-12-09,2023-12-19,Chronic Care,10
Respiratory,RSV,2023-12-08,2023-12-13,LTCH,5
Respiratory,Coronavirus,2023-12-08,2024-01-13,LTCH,36
Respiratory,RSV,2023-12-08,2024-01-01,Retirement Home,24
Respiratory,Coronavirus,2023-12-08,2023-12-29,LTCH,21
Respiratory,Coronavirus,2023-12-07,2023-12-20,Chronic Care,13
Respiratory,Influenza,2023-12-07,2023-12-13,Retirement Home,6
Respiratory,Coronavirus,2023-12-07,2023-12-14,Chronic Care,7
Respiratory,Coronavirus,2023-12-07,2023-12-16,Chronic Care,9
Respiratory,Coronavirus,2023-12-07,2023-12-14,LTCH,7
Respiratory,Influenza,2023-12-06,2023-12-15,LTCH,9
Respiratory,Coronavirus,2023-12-06,2023-12-18,Retirement Home,12
Respiratory,Coronavirus,2023-12-06,2023-12-19,Retirement Home,13
Respiratory,Coronavirus,2023-12-06,2023-12-12,LTCH,6
Respiratory,Coronavirus,2023-12-06,2023-12-18,Retirement Home,12
Respiratory,Coronavirus,2023-12-06,2023-12-14,Chronic Care,8
Respiratory,Coronavirus,2023-12-06,2023-12-16,Acute Care,10
Respiratory,Unknown,2023-12-06,2023-12-23,LTCH,17
Respiratory,Coronavirus,2023-12-06,2023-12-18,LTCH,12
Respiratory,Unknown,2023-12-06,NA,LTCH,NA
Respiratory,Coronavirus,2023-12-05,2023-12-18,Retirement Home,13
Respiratory,Coronavirus,2023-12-05,2023-12-21,LTCH,16
Respiratory,Coronavirus,2023-12-05,2023-12-28,Retirement Home,23
Respiratory,Coronavirus,2023-12-05,2023-12-14,LTCH,9
Respiratory,Coronavirus,2023-12-05,2023-12-12,Chronic Care,7
Respiratory,Coronavirus,2023-12-05,2023-12-12,Acute Care,7
Respiratory,Coronavirus,2023-12-05,2023-12-28,LTCH,23
Respiratory,Coronavirus,2023-12-04,2023-12-18,Retirement Home,14
Respiratory,Coronavirus,2023-12-04,2023-12-25,LTCH,21
Respiratory,Coronavirus,2023-12-04,2023-12-12,Psychiatric,8
Respiratory,Coronavirus,2023-12-04,2023-12-16,Acute Care,12
Respiratory,Influenza,2023-12-04,2023-12-15,LTCH,11
Respiratory,Coronavirus,2023-12-04,2023-12-13,Retirement Home,9
Respiratory,Coronavirus,2023-12-04,2023-12-10,Acute Care,6
Respiratory,Coronavirus,2023-12-03,2023-12-12,Acute Care,9
Respiratory,RSV,2023-12-01,2023-12-13,Retirement Home,12
Respiratory,Coronavirus,2023-12-01,2023-12-12,LTCH,11
Respiratory,Coronavirus,2023-12-01,2023-12-16,Chronic Care,15
Respiratory,Rhinovirus,2023-11-30,2023-12-08,LTCH,8
Respiratory,Coronavirus,2023-11-30,2023-12-14,LTCH,14
Respiratory,Coronavirus,2023-11-29,2023-12-15,Chronic Care,16
Respiratory,Coronavirus,2023-11-29,2023-12-14,Chronic Care,15
Respiratory,Coronavirus,2023-11-29,2023-12-10,Acute Care,11
Respiratory,Coronavirus,2023-11-28,2023-12-12,Retirement Home,14
Respiratory,Coronavirus,2023-11-28,2024-01-09,Retirement Home,42
Respiratory,Coronavirus,2023-11-27,2023-12-02,Chronic Care,5
Respiratory,Unknown,2023-11-27,2023-12-18,LTCH,21
Respiratory,Coronavirus,2023-11-27,2023-12-05,Chronic Care,8
Respiratory,Coronavirus,2023-11-27,2023-12-04,Chronic Care,7
Respiratory,Coronavirus,2023-11-27,2023-12-04,Retirement Home,7
Respiratory,Coronavirus,2023-11-27,2023-12-08,LTCH,11
Respiratory,Coronavirus,2023-11-27,2023-12-08,Chronic Care,11
Respiratory,Coronavirus,2023-11-27,2023-12-07,Acute Care,10
Respiratory,Influenza,2023-11-26,2023-12-05,LTCH,9
Respiratory,Coronavirus,2023-11-26,2023-12-27,LTCH,31
Respiratory,Coronavirus,2023-11-26,2023-12-04,Chronic Care,8
Respiratory,Influenza,2023-11-26,2023-12-07,Chronic Care,11
Respiratory,Coronavirus,2023-11-25,2023-12-02,Chronic Care,7
Respiratory,Coronavirus,2023-11-25,2023-12-11,LTCH,16
Respiratory,Coronavirus,2023-11-24,2023-12-08,Chronic Care,14
Respiratory,Coronavirus,2023-11-24,2023-12-09,Chronic Care,15
Respiratory,Coronavirus,2023-11-24,2023-12-12,Chronic Care,18
Respiratory,Coronavirus,2023-11-24,NA,LTCH,NA
Respiratory,Coronavirus,2023-11-24,2023-12-13,Retirement Home,19
Respiratory,Coronavirus,2023-11-24,2023-12-06,LTCH,12
Respiratory,Coronavirus,2023-11-24,2023-12-19,LTCH,25
Respiratory,Unknown,2023-11-24,NA,LTCH,NA
Respiratory,Coronavirus,2023-11-24,2023-12-18,LTCH,24
Respiratory,Coronavirus,2023-11-24,2023-12-01,LTCH,7
Respiratory,Coronavirus,2023-11-24,2023-12-02,LTCH,8
Respiratory,Coronavirus,2023-11-24,2023-12-08,Chronic Care,14
Respiratory,Coronavirus,2023-11-24,2023-12-05,Acute Care,11
Respiratory,Unknown,2023-11-23,2023-12-07,LTCH,14
Respiratory,Coronavirus,2023-11-23,2023-12-04,Retirement Home,11
Respiratory,Coronavirus,2023-11-23,2023-12-04,LTCH,11
Respiratory,Coronavirus,2023-11-23,2023-12-11,Acute Care,18
Respiratory,Coronavirus,2023-11-22,2023-12-01,Chronic Care,9
Respiratory,RSV,2023-11-22,2023-11-30,LTCH,8
Respiratory,Coronavirus,2023-11-22,2023-11-28,Acute Care,6
Respiratory,Coronavirus,2023-11-22,2023-11-29,Chronic Care,7
Enteric,Unknown,2023-11-21,2023-11-27,Retirement Home,6
Respiratory,Coronavirus,2023-11-21,2023-12-15,LTCH,24
Respiratory,Coronavirus,2023-11-21,2023-12-12,LTCH,21
Respiratory,Coronavirus,2023-11-21,2023-12-16,Chronic Care,25
Respiratory,Coronavirus,2023-11-21,2023-12-13,Retirement Home,22
Respiratory,Coronavirus,2023-11-21,2023-11-29,Chronic Care,8
Respiratory,Coronavirus,2023-11-20,2023-11-30,LTCH,10
Respiratory,Coronavirus,2023-11-20,2023-11-26,Psychiatric,6
Respiratory,Coronavirus,2023-11-20,2023-11-27,LTCH,7
Respiratory,Coronavirus,2023-11-20,2023-12-12,LTCH,22
Respiratory,Coronavirus,2023-11-20,2023-12-13,LTCH,23
Respiratory,Coronavirus,2023-11-20,2024-01-01,Retirement Home,42
Respiratory,Influenza,2023-11-20,2023-11-30,Chronic Care,10
Respiratory,Coronavirus,2023-11-20,2023-12-05,Chronic Care,15
Respiratory,Coronavirus,2023-11-20,2023-11-27,Acute Care,7
Respiratory,Coronavirus,2023-11-19,2023-12-07,LTCH,18
Respiratory,Coronavirus,2023-11-18,2023-11-30,Retirement Home,12
Respiratory,Coronavirus,2023-11-18,2023-11-30,LTCH,12
Respiratory,Coronavirus,2023-11-17,2023-11-28,LTCH,11
Respiratory,Coronavirus,2023-11-17,2023-11-28,LTCH,11
Respiratory,Coronavirus,2023-11-17,2023-11-29,LTCH,12
Respiratory,Coronavirus,2023-11-17,2023-12-08,Chronic Care,21
Respiratory,Coronavirus,2023-11-17,2023-11-25,Chronic Care,8
Respiratory,Coronavirus,2023-11-17,2023-12-05,Chronic Care,18
Respiratory,Coronavirus,2023-11-17,2023-12-01,Chronic Care,14
Respiratory,Coronavirus,2023-11-16,2023-11-29,Retirement Home,13
Respiratory,Coronavirus,2023-11-16,2023-12-01,Acute Care,15
Respiratory,Coronavirus,2023-11-15,2023-11-30,LTCH,15
Respiratory,Coronavirus,2023-11-15,2023-11-24,Acute Care,9
Respiratory,Coronavirus,2023-11-14,2023-12-04,Transitional Care,20
Respiratory,Coronavirus,2023-11-14,2023-11-24,LTCH,10
Respiratory,Coronavirus,2023-11-14,2023-12-07,LTCH,23
Respiratory,Coronavirus,2023-11-14,2023-12-04,LTCH,20
Respiratory,Coronavirus,2023-11-14,2023-11-24,Chronic Care,10
Respiratory,Coronavirus,2023-11-13,2023-12-11,Retirement Home,28
Respiratory,Coronavirus,2023-11-13,2023-11-27,Retirement Home,14
Respiratory,Coronavirus,2023-11-13,2023-11-30,Psychiatric,17
Respiratory,Coronavirus,2023-11-13,NA,LTCH,NA
Respiratory,RSV,2023-11-13,2023-12-22,LTCH,39
Respiratory,Coronavirus,2023-11-13,2023-12-20,LTCH,37
Respiratory,Coronavirus,2023-11-13,2023-12-04,LTCH,21
Respiratory,Coronavirus,2023-11-13,2023-11-30,Chronic Care,17
Respiratory,Coronavirus,2023-11-13,2023-12-01,Retirement Home,18
Respiratory,Unknown,2023-11-13,2023-11-27,LTCH,14
Respiratory,Coronavirus,2023-11-13,2023-11-24,Chronic Care,11
Respiratory,Coronavirus,2023-11-12,2023-11-23,Chronic Care,11
Respiratory,Coronavirus,2023-11-12,2023-11-27,LTCH,15
Respiratory,Coronavirus,2023-11-12,2023-11-25,LTCH,13
Respiratory,Coronavirus,2023-11-11,2023-11-20,LTCH,9
Respiratory,Coronavirus,2023-11-11,2023-11-22,LTCH,11
Respiratory,Rhinovirus,2023-11-10,2023-11-24,LTCH,14
Respiratory,Coronavirus,2023-11-09,NA,LTCH,NA
Respiratory,Coronavirus,2023-11-09,2023-11-17,Chronic Care,8
Respiratory,Unknown,2023-11-08,2023-11-23,LTCH,15
Respiratory,Coronavirus,2023-11-08,2023-11-30,LTCH,22
Respiratory,Coronavirus,2023-11-07,2023-11-20,LTCH,13
Respiratory,Coronavirus,2023-11-07,2023-11-17,Acute Care,10
Respiratory,Coronavirus,2023-11-07,2023-12-05,Acute Care,28
Respiratory,Coronavirus,2023-11-07,2023-11-24,LTCH,17
Respiratory,Coronavirus,2023-11-07,2023-11-19,Chronic Care,12
Respiratory,Coronavirus,2023-11-07,2023-11-29,Acute Care,22
Respiratory,Coronavirus,2023-11-06,2023-11-24,Retirement Home,18
Respiratory,Coronavirus,2023-11-06,2023-11-13,LTCH,7
Respiratory,Coronavirus,2023-11-06,2023-12-06,LTCH,30
Respiratory,Influenza,2023-11-06,2023-11-24,LTCH,18
Respiratory,Coronavirus,2023-11-06,2023-11-27,LTCH,21
Respiratory,Coronavirus,2023-11-06,2023-11-20,LTCH,14
Respiratory,Coronavirus,2023-11-06,2023-11-30,Chronic Care,24
Respiratory,Influenza,2023-11-06,2023-11-22,LTCH,16
Respiratory,Coronavirus,2023-11-06,2023-11-22,LTCH,16
Respiratory,Coronavirus,2023-11-05,2023-11-13,Acute Care,8
Respiratory,Coronavirus,2023-11-04,2023-11-13,Acute Care,9
Respiratory,Coronavirus,2023-11-03,2023-11-20,LTCH,17
Respiratory,Unknown,2023-11-03,NA,LTCH,NA
Respiratory,Unknown,2023-11-03,2023-11-20,LTCH,17
Respiratory,Coronavirus,2023-11-03,2023-11-10,LTCH,7
Respiratory,Coronavirus,2023-11-02,2023-12-12,LTCH,40
Other,Streptococcus,2023-11-02,NA,Acute Care,NA
Respiratory,Coronavirus,2023-11-02,2023-11-10,Retirement Home,8
Respiratory,Coronavirus,2023-11-02,2023-11-13,LTCH,11
Respiratory,Coronavirus,2023-11-02,2023-11-09,LTCH,7
Respiratory,Coronavirus,2023-11-01,2023-11-14,Retirement Home,13
Respiratory,Coronavirus,2023-11-01,2023-11-13,LTCH,12
Respiratory,Unknown,2023-11-01,2023-11-09,LTCH,8
Respiratory,Coronavirus,2023-11-01,2023-11-11,LTCH,10
Respiratory,Coronavirus,2023-11-01,2023-11-09,Chronic Care,8
Respiratory,Coronavirus,2023-11-01,2023-11-15,LTCH,14
Respiratory,Coronavirus,2023-11-01,2023-11-20,Retirement Home,19
Respiratory,Coronavirus,2023-11-01,2023-11-09,Retirement Home,8
Respiratory,Coronavirus,2023-10-31,2023-11-24,Retirement Home,24
Respiratory,Coronavirus,2023-10-31,2023-11-20,Retirement Home,20
Respiratory,Coronavirus,2023-10-31,2023-12-01,LTCH,31
Respiratory,Coronavirus,2023-10-31,2023-11-20,LTCH,20
Respiratory,Coronavirus,2023-10-31,2023-11-12,LTCH,12
Respiratory,Influenza,2023-10-31,2023-11-14,LTCH,14
Respiratory,Coronavirus,2023-10-30,2023-11-20,Retirement Home,21
Respiratory,Coronavirus,2023-10-30,2023-11-16,LTCH,17
Respiratory,Influenza,2023-10-30,2023-11-16,LTCH,17
Respiratory,Coronavirus,2023-10-30,2023-11-28,LTCH,29
Respiratory,Coronavirus,2023-10-30,2023-11-27,Retirement Home,28
Respiratory,Coronavirus,2023-10-30,2023-11-30,LTCH,31
Respiratory,Coronavirus,2023-10-30,2023-11-06,Acute Care,7
Respiratory,Coronavirus,2023-10-27,2023-11-06,Chronic Care,10
Respiratory,Coronavirus,2023-10-27,2023-11-24,LTCH,28
Respiratory,Rhinovirus,2023-10-27,2023-11-14,LTCH,18
Respiratory,Coronavirus,2023-10-27,2023-11-13,LTCH,17
Respiratory,Coronavirus,2023-10-27,2023-11-07,Acute Care,11
Respiratory,Coronavirus,2023-10-27,2023-11-09,Retirement Home,13
Respiratory,Coronavirus,2023-10-27,2023-11-04,LTCH,8
Respiratory,Coronavirus,2023-10-27,2023-11-05,Acute Care,9
Respiratory,Coronavirus,2023-10-27,2023-11-06,Chronic Care,10
Respiratory,Coronavirus,2023-10-26,2023-11-03,Retirement Home,8
Respiratory,Coronavirus,2023-10-26,2023-11-06,LTCH,11
Respiratory,Coronavirus,2023-10-26,2023-11-02,Retirement Home,7
Respiratory,Coronavirus,2023-10-26,2023-11-30,Retirement Home,35
Respiratory,Coronavirus,2023-10-25,2023-11-02,Retirement Home,8
Respiratory,Coronavirus,2023-10-25,2023-11-06,LTCH,12
Respiratory,Coronavirus,2023-10-24,2023-11-10,Retirement Home,17
Respiratory,Coronavirus,2023-10-24,2023-11-17,LTCH,24
Respiratory,Coronavirus,2023-10-24,2023-10-30,Acute Care,6
Respiratory,Coronavirus,2023-10-23,2023-11-19,LTCH,27
Respiratory,Coronavirus,2023-10-23,2023-11-08,Retirement Home,16
Respiratory,Coronavirus,2023-10-23,2023-11-04,LTCH,12
Respiratory,Coronavirus,2023-10-23,2023-11-27,LTCH,35
Respiratory,Coronavirus,2023-10-23,2023-10-31,LTCH,8
Respiratory,Coronavirus,2023-10-23,2023-11-13,LTCH,21
Respiratory,Coronavirus,2023-10-23,2023-11-11,Acute Care,19
Respiratory,Coronavirus,2023-10-23,2023-10-28,Transitional Care,5
Respiratory,Influenza,2023-10-22,2023-10-31,LTCH,9
Respiratory,Coronavirus,2023-10-22,2023-10-30,LTCH,8
Respiratory,Coronavirus,2023-10-22,2023-11-07,LTCH,16
Respiratory,Coronavirus,2023-10-21,2023-11-08,LTCH,18
Respiratory,Coronavirus,2023-10-20,2023-11-15,LTCH,26
Respiratory,Coronavirus,2023-10-20,2023-11-02,Acute Care,13
Respiratory,RSV,2023-10-20,2023-11-16,LTCH,27
Respiratory,Coronavirus,2023-10-20,2023-11-20,LTCH,31
Respiratory,Coronavirus,2023-10-19,2023-10-24,Retirement Home,5
Respiratory,RSV,2023-10-19,2023-11-01,LTCH,13
Respiratory,Coronavirus,2023-10-19,2023-12-06,LTCH,48
Respiratory,Coronavirus,2023-10-19,2023-10-30,LTCH,11
Respiratory,Coronavirus,2023-10-19,2023-10-26,Chronic Care,7
Respiratory,Coronavirus,2023-10-18,2023-11-06,LTCH,19
Respiratory,Coronavirus,2023-10-18,2023-10-27,Retirement Home,9
Respiratory,Coronavirus,2023-10-18,2023-10-25,LTCH,7
Respiratory,Coronavirus,2023-10-18,2023-10-30,Chronic Care,12
Respiratory,Rhinovirus,2023-10-17,2023-10-28,LTCH,11
Respiratory,Coronavirus,2023-10-17,2023-10-26,Retirement Home,9
Respiratory,Coronavirus,2023-10-17,2023-10-30,Retirement Home,13
Respiratory,Coronavirus,2023-10-17,2023-10-30,LTCH,13
Respiratory,Coronavirus,2023-10-16,2023-10-26,Retirement Home,10
Respiratory,Rhinovirus,2023-10-16,2023-10-20,Retirement Home,4
Enteric,Unknown,2023-10-16,2023-10-25,Retirement Home,9
Respiratory,Coronavirus,2023-10-16,2023-10-20,LTCH,4
Respiratory,Rhinovirus,2023-10-16,2023-11-10,LTCH,25
Respiratory,Coronavirus,2023-10-16,2023-11-06,LTCH,21
Respiratory,Coronavirus,2023-10-16,2023-10-25,Acute Care,9
Respiratory,Coronavirus,2023-10-15,2023-10-24,Chronic Care,9
Respiratory,Coronavirus,2023-10-14,2023-11-02,LTCH,19
Respiratory,Coronavirus,2023-10-14,2023-10-24,Retirement Home,10
Respiratory,Coronavirus,2023-10-13,2023-10-26,LTCH,13
Respiratory,Coronavirus,2023-10-13,2023-10-20,Chronic Care,7
Respiratory,Coronavirus,2023-10-12,2023-10-28,LTCH,16
Respiratory,Rhinovirus,2023-10-12,2023-10-23,LTCH,11
Respiratory,Coronavirus,2023-10-11,2023-10-25,Chronic Care,14
Respiratory,Coronavirus,2023-10-11,2023-10-25,Chronic Care,14
Respiratory,Coronavirus,2023-10-10,2023-10-16,LTCH,6
Respiratory,Coronavirus,2023-10-10,2023-10-23,LTCH,13
Respiratory,Rhinovirus,2023-10-10,2023-10-18,LTCH,8
Respiratory,Coronavirus,2023-10-10,2023-11-03,LTCH,24
Respiratory,Coronavirus,2023-10-10,2023-10-25,LTCH,15
Respiratory,Coronavirus,2023-10-10,2023-10-22,Chronic Care,12
Respiratory,Coronavirus,2023-10-09,2023-10-16,Chronic Care,7
Respiratory,Coronavirus,2023-10-09,2023-10-16,Acute Care,7
Respiratory,Rhinovirus,2023-10-08,2023-10-24,LTCH,16
Respiratory,Coronavirus,2023-10-08,2023-10-24,Retirement Home,16
Respiratory,Coronavirus,2023-10-08,2023-10-25,LTCH,17
Respiratory,Coronavirus,2023-10-08,2023-11-07,LTCH,30
Respiratory,Rhinovirus,2023-10-07,2023-10-13,LTCH,6
Respiratory,Coronavirus,2023-10-07,2023-10-28,LTCH,21
Respiratory,Rhinovirus,2023-10-06,2023-10-23,Retirement Home,17
Respiratory,Coronavirus,2023-10-06,2023-10-14,LTCH,8
Respiratory,Coronavirus,2023-10-06,2023-10-18,LTCH,12
Respiratory,Rhinovirus,2023-10-06,2023-10-25,LTCH,19
Respiratory,Coronavirus,2023-10-06,2023-10-20,LTCH,14
Respiratory,Coronavirus,2023-10-06,2023-10-15,Acute Care,9
Respiratory,Coronavirus,2023-10-06,2023-10-12,Acute Care,6
Enteric,Norovirus,2023-10-05,2023-10-17,LTCH,12
Respiratory,Coronavirus,2023-10-04,2023-10-16,Retirement Home,12
Respiratory,Influenza,2023-10-04,2023-10-16,LTCH,12
Respiratory,Rhinovirus,2023-10-04,2023-10-12,LTCH,8
Respiratory,Coronavirus,2023-10-04,2023-11-02,LTCH,29
